,original,predict,last_x,direction,diff,,,,
364,216.52,215.59189,216.29,FALSE,-0.323%,0.92811,0.43%,,
365,216.77,216.09584,216.46,FALSE,-0.168%,0.67416,0.31%,,
366,217.12,215.95872,217.19,TRUE,0.000%,1.16128,0.53%,,
367,216.94,215.68437,216.65,FALSE,-0.446%,1.25563,0.58%,,
368,215.5492,215.40239,215.48,FALSE,-0.036%,0.14681,0.07%,,
369,216.18,215.23743,216.31,TRUE,0.000%,0.94257,0.44%,,
370,216.4097,216.88173,217.21,TRUE,0.000%,-0.47203,-0.22%,,
371,218.18,217.66684,218.4,TRUE,0.000%,0.51316,0.23%,,
372,218.05,217.87517,218.13,TRUE,0.000%,0.17483,0.08%,,
373,218.18,217.67189,218.31,TRUE,0.000%,0.50811,0.23%,,
374,217.64,217.6132,218.26,TRUE,0.000%,0.0268,0.01%,,
375,218.65,217.39882,218.29,FALSE,-0.408%,1.25118,0.57%,,
376,218.46,218.03871,218.89,TRUE,0.000%,0.42129,0.19%,,
377,219.09,217.52283,218.6,FALSE,-0.493%,1.56717,0.72%,,
378,217.96,217.2774,218,TRUE,0.000%,0.6826,0.31%,,
379,218.37,217.18318,218.34,FALSE,-0.530%,1.18682,0.54%,,
380,218.86,217.06532,218.31,FALSE,-0.570%,1.79468,0.82%,,
381,218.54,217.00209,218.26,FALSE,-0.576%,1.53791,0.70%,,
382,218.53,217.63094,219.25,TRUE,0.000%,0.89906,0.41%,,
383,218.97,217.2957,218.8,FALSE,-0.688%,1.6743,0.77%,,
384,217.85,216.8555,217.4,FALSE,-0.250%,0.9945,0.46%,,
385,217.7,216.82782,217.92,TRUE,0.000%,0.87218,0.40%,,
386,217.29,216.55653,217.44,TRUE,0.000%,0.73347,0.34%,,
387,218.3608,216.75822,218.26,FALSE,-0.688%,1.60258,0.73%,,
388,218,216.97404,217.61,FALSE,-0.292%,1.02596,0.47%,,
389,217.38,216.45323,217.37,FALSE,-0.422%,0.92677,0.43%,,
390,217.39,217.4154,218.39,TRUE,0.000%,-0.0254,-0.01%,,
391,218.37,217.19011,218.7,TRUE,0.000%,1.17989,0.54%,,
392,219.0308,217.75424,218.84,FALSE,-0.496%,1.27656,0.58%,,
393,219.01,217.64543,218.62,FALSE,-0.446%,1.36457,0.62%,,
394,218.51,216.87903,216.97,FALSE,-0.042%,1.63097,0.75%,,
395,213.28,214.47505,212.39,TRUE,0.000%,-1.19505,-0.56%,,
396,216.34,214.22633,214.84,FALSE,-0.286%,2.11367,0.98%,,
397,213.23,213.28734,213.29,TRUE,0.000%,-0.05734,-0.03%,,
398,213.15,212.24628,212.96,FALSE,-0.335%,0.90372,0.42%,,
399,215.28,212.3718,213.48,FALSE,-0.519%,2.9082,1.36%,,
400,213.37,213.9328,214.13,TRUE,0.000%,-0.5628,-0.26%,,
401,213.41,213.99796,214.41,TRUE,0.000%,-0.58796,-0.27%,,
402,213.42,213.3693,214.24,TRUE,0.000%,0.0507,0.02%,,
403,215.82,214.97133,217,TRUE,0.000%,0.84867,0.39%,,
404,217.18,215.65144,216.72,FALSE,-0.493%,1.52856,0.71%,,
405,215.99,215.13239,215.02,TRUE,0.000%,0.85761,0.40%,,
406,214.24,215.12999,214.05,TRUE,0.000%,-0.88999,-0.42%,,
407,215.57,214.72191,215.83,TRUE,0.000%,0.84809,0.39%,,
408,216.64,215.55542,216.4,FALSE,-0.390%,1.08458,0.50%,,
409,214.68,215.57751,215.65,TRUE,0.000%,-0.89751,-0.42%,,
410,216.3,214.85214,215.82,FALSE,-0.448%,1.44786,0.67%,,
411,215.78,215.41061,215.91,TRUE,0.000%,0.36939,0.17%,,
412,214.68,215.56009,215.41,FALSE,-0.070%,-0.88009,-0.41%,,
413,215.63,214.75798,215.37,FALSE,-0.284%,0.87202,0.40%,,
414,215.78,215.23946,216.1,TRUE,0.000%,0.54054,0.25%,,
415,215.04,215.79071,216.155,TRUE,0.000%,-0.75071,-0.35%,,
416,216.16,214.83604,215.66,FALSE,-0.382%,1.32396,0.61%,,
417,213.43,214.64194,213.59,FALSE,-0.493%,-1.21194,-0.57%,,
418,213.71,213.02327,212.16,TRUE,0.000%,0.68673,0.32%,,
419,213.01,213.50797,214.15,TRUE,0.000%,-0.49797,-0.23%,,
420,213.12,213.2011,213.09,TRUE,0.000%,-0.0811,-0.04%,,
421,212.38,213.50276,214.24,TRUE,0.000%,-1.12276,-0.52%,,
422,213.71,212.88168,214.02,TRUE,0.000%,0.82832,0.39%,,
423,214.28,213.97998,213.87,TRUE,0.000%,0.30002,0.14%,,
424,213.88,212.50739,212.96,FALSE,-0.213%,1.37261,0.64%,,
425,213.98,214.31581,215,TRUE,0.000%,-0.33581,-0.16%,,
426,214.89,213.61484,214.68,FALSE,-0.496%,1.27516,0.59%,,
427,214.17,212.90587,213.21,FALSE,-0.143%,1.26413,0.59%,,
428,213.74,214.02632,214.58,TRUE,0.000%,-0.28632,-0.13%,,
429,213.17,212.67249,213.14,FALSE,-0.219%,0.49751,0.23%,,
430,212.54,211.90427,212.93,TRUE,0.000%,0.63573,0.30%,,
431,212.55,211.62251,212.93,TRUE,0.000%,0.92749,0.44%,,
432,211.01,211.41904,210.65,TRUE,0.000%,-0.40904,-0.19%,,
433,209.74,210.62909,209.99,FALSE,-0.304%,-0.88909,-0.42%,,
434,208.78,209.5257,208.91,FALSE,-0.295%,-0.7457,-0.36%,,
435,208.55,210.13684,211.45,TRUE,0.000%,-1.58684,-0.75%,,
436,213.15,210.50467,212.69,FALSE,-1.027%,2.64533,1.24%,,
437,214.11,211.88867,212.37,FALSE,-0.227%,2.22133,1.05%,,
438,216.3792,214.94559,217.3,TRUE,0.000%,1.43361,0.66%,,
439,216.92,215.54135,216.08,FALSE,-0.249%,1.37865,0.64%,,
440,216.42,216.36266,217.03,TRUE,0.000%,0.05734,0.03%,,
441,216.59,216.28987,217.04,TRUE,0.000%,0.30013,0.14%,,
442,218.28,216.3279,217.56,FALSE,-0.566%,1.9521,0.90%,,
443,217.87,217.13356,218.05,TRUE,0.000%,0.73644,0.34%,,
444,218.99,217.22125,219.07,TRUE,0.000%,1.76875,0.81%,,
445,218.5,218.03369,219.17,TRUE,0.000%,0.46631,0.21%,,
446,220.15,218.26128,220.51,TRUE,0.000%,1.88872,0.86%,,
447,220.58,218.44171,219.98,FALSE,-0.699%,2.13829,0.97%,,
448,220.7,219.08128,221.1,TRUE,0.000%,1.61872,0.73%,,
449,221.52,219.29935,221.16,FALSE,-0.841%,2.22065,1.00%,,
450,220.48,219.37004,220.52,TRUE,0.000%,1.10996,0.50%,,
451,220.91,219.93965,221.63,TRUE,0.000%,0.97035,0.44%,,
452,220.38,219.72267,220.73,TRUE,0.000%,0.65733,0.30%,,
453,219.57,219.06467,219.67,TRUE,0.000%,0.50533,0.23%,,
454,219.68,219.53432,220.65,TRUE,0.000%,0.14568,0.07%,,
455,221,219.83003,221.22,TRUE,0.000%,1.16997,0.53%,,
456,221.7,220.38097,221.52,FALSE,-0.514%,1.31903,0.60%,,
457,224.6,222.26422,224.57,FALSE,-1.027%,2.33578,1.04%,,
458,225.15,223.73975,225.41,TRUE,0.000%,1.41025,0.63%,,
459,226.51,224.57439,226.4,FALSE,-0.806%,1.93561,0.85%,,
460,226.25,225.80692,227.02,TRUE,0.000%,0.44308,0.20%,,
461,227.76,226.38016,227.41,FALSE,-0.453%,1.37984,0.61%,,
462,225.88,226.2965,226.16,FALSE,-0.060%,-0.4165,-0.18%,,
463,226.81,225.57034,226.01,FALSE,-0.195%,1.23966,0.55%,,
464,225.04,225.32416,225.25,FALSE,-0.033%,-0.28416,-0.13%,,
465,225.53,224.86258,226.15,TRUE,0.000%,0.66742,0.30%,,
466,226.4,224.96945,226.25,FALSE,-0.566%,1.43055,0.63%,,
467,225.77,224.55812,225.6,FALSE,-0.462%,1.21188,0.54%,,
468,225.38,224.49008,225.43,TRUE,0.000%,0.88992,0.39%,,
469,225.71,224.78603,226.02,TRUE,0.000%,0.92397,0.41%,,
470,226.27,225.28006,226.57,TRUE,0.000%,0.98994,0.44%,,
471,224.4,224.07256,224.48,TRUE,0.000%,0.32744,0.15%,,
472,224.35,223.51198,224.73,TRUE,0.000%,0.83802,0.37%,,
473,223.53,223.91522,225.04,TRUE,0.000%,-0.38522,-0.17%,,
474,225.24,223.577,225.62,TRUE,0.000%,1.663,0.74%,,
475,226.58,224.5203,226.27,FALSE,-0.773%,2.0597,0.91%,,
